Order_ID,Merchant,Original_Time,Quantity,Item,Details,Price,Subtotal,Discount,Delivery_Fee,Bag_Fee,Platform_Fee,Tip,Total_Incl_Tax,Date,Weekday,Time_24hr
qqgn-7k4d,上宇林頂級茶飲 (永和保平店),10月8日 週日 下午7:31,1,紅龍鮮奶茶,"去冰, 半糖",70,0,0,0,0,0,0,0,2021/10/08,Sunday,19:31
kwyk-oez2,金正好吃 (永和永貞店),10月8日 週日 下午7:12,1,鮮蚵大腸麵線,,75,0,0,0,0,0,0,0,2021/10/08,Sunday,19:12
kwyk-oez2,金正好吃 (永和永貞店),10月8日 週日 下午7:12,2,正宗深坑臭豆腐,,160,0,0,0,0,0,0,0,2021/10/08,Sunday,19:12
kwyk-oez2,金正好吃 (永和永貞店),10月8日 週日 下午7:12,1,蚵仔煎,,90,0,0,0,0,0,0,0,2021/10/08,Sunday,19:12
kwyk-2gof,金正好吃 (永和永貞店),10月7日 週六 下午11:44,2,正宗深坑臭豆腐,,160,0,0,0,0,0,0,0,2021/10/07,Saturday,23:44
kwyk-2gof,金正好吃 (永和永貞店),10月7日 週六 下午11:44,1,蚵仔煎,,90,0,0,0,0,0,0,0,2021/10/07,Saturday,23:44
e0xv-fx3h,熊貓超市(中正店),10月1日 週日 下午7:04,2,【自然風】烤肉夾3入,,53,0,0,0,0,0,0,0,2021/10/01,Sunday,19:04
e0xv-fx3h,熊貓超市(中正店),10月1日 週日 下午7:04,1,【自然風】免洗筷 #666,,43,0,0,0,0,0,0,0,2021/10/01,Sunday,19:04
e0xv-fx3h,熊貓超市(中正店),10月1日 週日 下午7:04,1,250紙碗 15入,,32,0,0,0,0,0,0,0,2021/10/01,Sunday,19:04
e0xv-fx3h,熊貓超市(中正店),10月1日 週日 下午7:04,1,【HIKARI日光生活】燒烤盤(6入)/L831-L,,93,0,0,0,0,0,0,0,2021/10/01,Sunday,19:04
e0xv-fx3h,熊貓超市(中正店),10月1日 週日 下午7:04,2,可口可樂 330mlx6入,,238,0,0,0,0,0,0,0,2021/10/01,Sunday,19:04
ee5f-hjup,CoCo都可 (竹東東峰店),6月28日 週三 下午1:09,1,四季珍椰青,"無糖, 少(微)冰, 加椰果",65,0,0,0,0,0,0,0,2021/06/28,Wednesday,13:09
ee5f-hjup,CoCo都可 (竹東東峰店),6月28日 週三 下午1:09,1,檸檬冬瓜露,"正常糖, 少(微)冰, 加珍珠",60,0,0,0,0,0,0,0,2021/06/28,Wednesday,13:09
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,粉腸,,55,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,皮蛋豆腐,,40,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,豆干,,10,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,海帶,,10,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,油豆腐,,15,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,豬頭肉,,55,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
b2zy-zhcu,老店麵食館,6月27日 週二 下午1:37,1,燙青菜,,40,0,0,0,0,0,0,0,2021/06/27,Tuesday,13:37
